Algorithm,recovery_pct,avg_rank,p1_budget,p1_correct_pct,p1_winner_score,p1_2nd_score,p2_winner_score,p2_2nd_score,avg_k,p1_true_winner_score,p2_true_winner_score,P1 Avg difference,P2 Avg difference,P2 Changes %,P2 Fixes %,P2 Errors %,N,k,m,epsilon,family,recovery_gain
Pure PARWiS (Baseline),11.5,72.77,371,6.5,2.1512,1.9542,2.0282,1.8765,0.0,0.8371,0.869,0.1969902567138908,0.1517124368625924,43.5,6.0,1.0,100,93,,,Baseline,0.0
PARWiS-P2 (m=50),11.5,72.77,500,11.5,2.0282,1.8765,2.0282,1.8765,0.0,0.869,0.869,0.1517124368625924,0.1517124368625924,0.0,0.0,0.0,100,93,50.0,,PARWiS-P2,0.0
PARWiS-P2 (m=75),11.5,72.77,290,6.0,2.2647,2.0224,2.0282,1.8765,0.0,0.7281,0.869,0.2423069503407342,0.1517124368625924,67.0,8.5,3.0,100,93,75.0,,PARWiS-P2,0.0
"Gen-Prob E-Greedy (m=50, e=0.0)",11.5,72.77,371,6.5,2.1512,1.9542,2.0282,1.8765,0.0,0.8371,0.869,0.1969902567138908,0.1517124368625924,43.5,6.0,1.0,100,93,50.0,0.0,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=75, e=0.8)",10.0,73.47,371,6.5,2.1512,1.9542,2.1083,1.9498,0.0,0.8371,0.9476,0.1969902567138908,0.1584872179793608,47.5,5.0,1.5,100,93,75.0,0.8,Gen-Prob E-Greedy,-1.5
"Gen-Prob E-Greedy (m=75, e=0.4)",10.0,73.89,371,6.5,2.1512,1.9542,2.0775,1.9173,0.0,0.8371,0.9174,0.1969902567138908,0.1601953503926987,49.0,5.0,1.5,100,93,75.0,0.4,Gen-Prob E-Greedy,-1.5
"Gen-Prob E-Greedy (m=50, e=1.0)",10.0,74.81,290,6.0,2.2647,2.0224,2.2242,2.053,0.0,0.7281,0.9509,0.2423069503407342,0.1712187657901709,64.0,7.000000000000001,3.0,100,93,50.0,1.0,Gen-Prob E-Greedy,-1.5
"Gen-Prob E-Greedy (m=75, e=0.2)",9.5,73.14,371,6.5,2.1512,1.9542,2.0892,1.9104,0.0,0.8371,0.9041,0.1969902567138908,0.1788335387430855,51.5,5.5,2.5,100,93,75.0,0.2,Gen-Prob E-Greedy,-2.0
"Gen-Prob E-Greedy (m=75, e=0.1)",9.0,73.35,371,6.5,2.1512,1.9542,2.0644,1.8908,0.0,0.8371,0.8917,0.1969902567138908,0.1735393786083985,50.0,4.0,1.5,100,93,75.0,0.1,Gen-Prob E-Greedy,-2.5
"Gen-Prob E-Greedy (m=50, e=0.4)",8.5,72.95,290,6.0,2.2647,2.0224,2.0789,1.9158,0.0,0.7281,0.8499,0.2423069503407342,0.1631242274548499,70.5,6.0,3.5000000000000004,100,93,50.0,0.4,Gen-Prob E-Greedy,-3.0
"Gen-Prob E-Greedy (m=75, e=0.6)",8.5,73.38,371,6.5,2.1512,1.9542,2.0931,1.9345,0.0,0.8371,0.9001,0.1969902567138908,0.1586342386570112,43.5,3.5000000000000004,1.5,100,93,75.0,0.6,Gen-Prob E-Greedy,-3.0
"Gen-Prob E-Greedy (m=50, e=0.6)",8.0,74.8,290,6.0,2.2647,2.0224,2.122,1.959,0.0,0.7281,0.9903,0.2423069503407342,0.1629255719368219,71.5,6.0,4.0,100,93,50.0,0.6,Gen-Prob E-Greedy,-3.5
"Gen-Prob E-Greedy (m=75, e=1.0)",7.0,73.06,371,6.5,2.1512,1.9542,2.1514,1.9877,0.0,0.8371,0.9239,0.1969902567138908,0.1636622424716995,42.5,3.5000000000000004,3.0,100,93,75.0,1.0,Gen-Prob E-Greedy,-4.5
"Gen-Prob E-Greedy (m=50, e=0.1)",6.5,71.28,290,6.0,2.2647,2.0224,2.0384,1.882,0.0,0.7281,0.7883,0.2423069503407342,0.1563731823301661,70.5,3.0,2.5,100,93,50.0,0.1,Gen-Prob E-Greedy,-5.0
"Gen-Prob E-Greedy (m=75, e=0.0)",6.0,75.62,290,6.0,2.2647,2.0224,2.2588,2.0773,0.0,0.7281,0.8172,0.2423069503407342,0.1815132571927589,50.5,3.5000000000000004,3.5000000000000004,100,93,75.0,0.0,Gen-Prob E-Greedy,-5.5
Pure PARWiS (Baseline),11.0,72.3,391,11.0,2.1328,1.952,2.0543,1.8812,0.0,0.7691,0.8608,0.1807692422632418,0.1730691143746274,43.0,4.5,4.5,100,95,,,Baseline,0.0
PARWiS-P2 (m=50),11.0,72.3,500,11.0,2.0543,1.8812,2.0543,1.8812,0.0,0.8608,0.8608,0.1730691143746274,0.1730691143746274,0.0,0.0,0.0,100,95,50.0,,PARWiS-P2,0.0
PARWiS-P2 (m=75),11.0,72.3,294,11.0,2.2584,2.0356,2.0543,1.8812,0.0,0.7467,0.8608,0.2228807229757947,0.1730691143746274,71.5,7.000000000000001,7.000000000000001,100,95,75.0,,PARWiS-P2,0.0
"Gen-Prob E-Greedy (m=50, e=0.0)",11.0,72.3,391,11.0,2.1328,1.952,2.0543,1.8812,0.0,0.7691,0.8608,0.1807692422632418,0.1730691143746274,43.0,4.5,4.5,100,95,50.0,0.0,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=50, e=1.0)",11.0,70.54,294,11.0,2.2584,2.0356,2.1728,2.0346,0.0,0.7467,0.8245,0.2228807229757947,0.1381675360910397,63.0,5.0,5.0,100,95,50.0,1.0,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=75, e=1.0)",10.5,69.55,391,11.0,2.1328,1.952,2.1434,1.9807,0.0,0.7691,0.8213,0.1807692422632418,0.1627036243001276,43.5,3.0,3.5000000000000004,100,95,75.0,1.0,Gen-Prob E-Greedy,-0.5
"Gen-Prob E-Greedy (m=50, e=0.8)",10.5,70.75,294,11.0,2.2584,2.0356,2.15,1.9953,0.0,0.7467,0.8391,0.2228807229757947,0.1546818068312645,63.0,5.0,5.5,100,95,50.0,0.8,Gen-Prob E-Greedy,-0.5
"Gen-Prob E-Greedy (m=50, e=0.2)",10.0,71.83,294,11.0,2.2584,2.0356,2.0718,1.913,0.0,0.7467,0.8794,0.2228807229757947,0.1587992518579013,74.0,6.0,7.000000000000001,100,95,50.0,0.2,Gen-Prob E-Greedy,-1.0
"Gen-Prob E-Greedy (m=75, e=0.0)",10.0,70.23,294,11.0,2.2584,2.0356,2.2602,2.0971,0.0,0.7467,0.8513,0.2228807229757947,0.1631551370648849,51.5,3.0,4.0,100,95,75.0,0.0,Gen-Prob E-Greedy,-1.0
"Gen-Prob E-Greedy (m=75, e=0.4)",9.5,72.56,391,11.0,2.1328,1.952,2.0736,1.9043,0.0,0.7691,0.8749,0.1807692422632418,0.1692950661399415,46.5,3.0,4.5,100,95,75.0,0.4,Gen-Prob E-Greedy,-1.5
"Gen-Prob E-Greedy (m=75, e=0.1)",9.5,72.05,391,11.0,2.1328,1.952,2.0402,1.8816,0.0,0.7691,0.8392,0.1807692422632418,0.1585661990039701,42.0,3.5000000000000004,5.0,100,95,75.0,0.1,Gen-Prob E-Greedy,-1.5
"Gen-Prob E-Greedy (m=50, e=0.4)",9.0,71.9,294,11.0,2.2584,2.0356,2.0954,1.9251,0.0,0.7467,0.8216,0.2228807229757947,0.1702374534825756,75.5,3.0,5.0,100,95,50.0,0.4,Gen-Prob E-Greedy,-2.0
"Gen-Prob E-Greedy (m=75, e=0.6)",8.5,69.31,391,11.0,2.1328,1.952,2.0866,1.9291,0.0,0.7691,0.772,0.1807692422632418,0.1575614963939671,43.5,3.0,5.5,100,95,75.0,0.6,Gen-Prob E-Greedy,-2.5
"Gen-Prob E-Greedy (m=75, e=0.8)",8.5,71.39,391,11.0,2.1328,1.952,2.1225,1.9686,0.0,0.7691,0.8498,0.1807692422632418,0.1539056143149875,46.5,3.0,5.5,100,95,75.0,0.8,Gen-Prob E-Greedy,-2.5
"Gen-Prob E-Greedy (m=75, e=0.2)",7.5,71.3,391,11.0,2.1328,1.952,2.0592,1.9035,0.0,0.7691,0.8363,0.1807692422632418,0.1556862405460013,45.0,2.5,6.0,100,95,75.0,0.2,Gen-Prob E-Greedy,-3.5
"Gen-Prob E-Greedy (m=50, e=0.1)",7.0,71.73,294,11.0,2.2584,2.0356,2.0633,1.8908,0.0,0.7467,0.8653,0.2228807229757947,0.1725070490306799,78.5,3.5000000000000004,7.5,100,95,50.0,0.1,Gen-Prob E-Greedy,-4.0
"Gen-Prob E-Greedy (m=50, e=0.6)",6.0,71.89,294,11.0,2.2584,2.0356,2.1154,1.9656,0.0,0.7467,0.8269,0.2228807229757947,0.1498361215223873,70.5,4.0,9.0,100,95,50.0,0.6,Gen-Prob E-Greedy,-5.0
"Gen-Prob E-Greedy (m=150, e=0.1)",96.5,195.47,408,94.5,4.3072,3.0887,4.2737,2.5436,0.0,4.1828,4.1852,1.2185898135407154,1.7300603799172003,3.0,2.0,0.0,200,10,150.0,0.1,Gen-Prob E-Greedy,0.5
Pure PARWiS (Baseline),96.0,195.43,408,94.5,4.3072,3.0887,4.2586,2.539,0.0,4.1828,4.1681,1.2185898135407154,1.7196117282287449,3.0,1.5,0.0,200,10,,,Baseline,0.0
PARWiS-P2 (m=100),96.0,195.43,"1,000",96.0,4.2586,2.539,4.2586,2.539,0.0,4.1681,4.1681,1.7196117282287449,1.7196117282287449,0.0,0.0,0.0,200,10,100.0,,PARWiS-P2,0.0
"Gen-Prob E-Greedy (m=100, e=0.0)",96.0,195.43,408,94.5,4.3072,3.0887,4.2586,2.539,0.0,4.1828,4.1681,1.2185898135407154,1.7196117282287449,3.0,1.5,0.0,200,10,100.0,0.0,Gen-Prob E-Greedy,0.0
PARWiS-P2 (m=150),96.0,195.43,354,93.5,4.2928,3.0382,4.2586,2.539,0.0,4.1551,4.1681,1.2546587585955864,1.7196117282287449,5.0,2.5,0.0,200,10,150.0,,PARWiS-P2,0.0
"Gen-Prob E-Greedy (m=100, e=0.2)",96.0,195.1,354,93.5,4.2928,3.0382,4.2453,2.7034,0.0,4.1551,4.1412,1.2546587585955864,1.5419794400812057,4.5,2.5,0.0,200,10,100.0,0.2,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=100, e=0.6)",95.5,194.18,354,93.5,4.2928,3.0382,4.2777,2.7252,0.0,4.1551,4.1536,1.2546587585955864,1.5525125682339698,4.5,2.0,0.0,200,10,100.0,0.6,Gen-Prob E-Greedy,-0.5
"Gen-Prob E-Greedy (m=100, e=1.0)",95.5,193.74,354,93.5,4.2928,3.0382,4.3095,2.7047,0.0,4.1551,4.1872,1.2546587585955864,1.6048259769977924,3.5000000000000004,2.0,0.0,200,10,100.0,1.0,Gen-Prob E-Greedy,-0.5
"Gen-Prob E-Greedy (m=100, e=0.4)",95.5,194.78,354,93.5,4.2928,3.0382,4.2505,2.716,0.0,4.1551,4.1341,1.2546587585955864,1.5345658308815278,4.0,2.0,0.0,200,10,100.0,0.4,Gen-Prob E-Greedy,-0.5
"Gen-Prob E-Greedy (m=150, e=0.4)",95.5,194.24,408,94.5,4.3072,3.0887,4.2381,2.722,0.0,4.1828,4.1214,1.2185898135407154,1.5160698043246923,2.5,1.0,0.0,200,10,150.0,0.4,Gen-Prob E-Greedy,-0.5
"Gen-Prob E-Greedy (m=150, e=0.6)",95.5,194.76,408,94.5,4.3072,3.0887,4.2825,2.7109,0.0,4.1828,4.1623,1.2185898135407154,1.5715914335161745,3.0,1.0,0.0,200,10,150.0,0.6,Gen-Prob E-Greedy,-0.5
"Gen-Prob E-Greedy (m=150, e=0.0)",95.5,194.18,354,93.5,4.2928,3.0382,4.2645,2.4166,0.0,4.1551,4.1391,1.2546587585955864,1.8478321844378616,3.5000000000000004,2.0,0.0,200,10,150.0,0.0,Gen-Prob E-Greedy,-0.5
"Gen-Prob E-Greedy (m=150, e=0.2)",95.5,194.34,408,94.5,4.3072,3.0887,4.2406,2.6937,0.0,4.1828,4.1151,1.2185898135407154,1.5468632310607258,3.5000000000000004,1.0,0.0,200,10,150.0,0.2,Gen-Prob E-Greedy,-0.5
"Gen-Prob E-Greedy (m=150, e=0.8)",95.5,194.56,408,94.5,4.3072,3.0887,4.2737,2.7013,0.0,4.1828,4.1646,1.2185898135407154,1.57239861735286,3.0,1.0,0.0,200,10,150.0,0.8,Gen-Prob E-Greedy,-0.5
"Gen-Prob E-Greedy (m=150, e=1.0)",95.5,193.82,408,94.5,4.3072,3.0887,4.3306,2.6893,0.0,4.1828,4.2128,1.2185898135407154,1.6412579575259048,2.0,1.0,0.0,200,10,150.0,1.0,Gen-Prob E-Greedy,-0.5
"Gen-Prob E-Greedy (m=100, e=0.8)",95.0,194.21,354,93.5,4.2928,3.0382,4.2933,2.7121,0.0,4.1551,4.1653,1.2546587585955864,1.581228585840567,4.0,1.5,0.0,200,10,100.0,0.8,Gen-Prob E-Greedy,-1.0
"Gen-Prob E-Greedy (m=100, e=0.1)",95.0,194.44,354,93.5,4.2928,3.0382,4.2053,2.5288,0.0,4.1551,4.0907,1.2546587585955864,1.6765378205815895,5.5,1.5,0.0,200,10,100.0,0.1,Gen-Prob E-Greedy,-1.0
"Gen-Prob E-Greedy (m=100, e=0.2)",92.5,191.19,403,86.5,3.643,2.7798,3.6012,2.5753,0.0,3.3421,3.389,0.863258000849902,1.0258979220180464,10.5,6.0,0.0,200,20,100.0,0.2,Gen-Prob E-Greedy,3.0
"Gen-Prob E-Greedy (m=100, e=0.4)",91.5,190.88,403,86.5,3.643,2.7798,3.5874,2.6743,0.0,3.3421,3.3692,0.863258000849902,0.9130486907702932,9.0,5.0,0.0,200,20,100.0,0.4,Gen-Prob E-Greedy,2.0
"Gen-Prob E-Greedy (m=150, e=0.4)",91.0,189.53,466,88.0,3.6229,2.7842,3.572,2.6219,0.0,3.3545,3.3474,0.838750785588319,0.9501033032314838,4.5,3.0,0.0,200,20,150.0,0.4,Gen-Prob E-Greedy,1.5
"Gen-Prob E-Greedy (m=100, e=0.1)",91.0,190.5,403,86.5,3.643,2.7798,3.535,2.433,0.0,3.3421,3.2996,0.863258000849902,1.101966962252506,9.0,4.5,0.0,200,20,100.0,0.1,Gen-Prob E-Greedy,1.5
"Gen-Prob E-Greedy (m=150, e=1.0)",91.0,188.38,466,88.0,3.6229,2.7842,3.5502,2.6045,0.0,3.3545,3.298,0.838750785588319,0.9456317129385384,6.0,3.0,0.0,200,20,150.0,1.0,Gen-Prob E-Greedy,1.5
"Gen-Prob E-Greedy (m=150, e=0.8)",90.5,188.59,466,88.0,3.6229,2.7842,3.5615,2.628,0.0,3.3545,3.3074,0.838750785588319,0.9334484511769928,5.5,2.5,0.0,200,20,150.0,0.8,Gen-Prob E-Greedy,1.0
"Gen-Prob E-Greedy (m=150, e=0.1)",90.0,189.03,466,88.0,3.6229,2.7842,3.5267,2.4332,0.0,3.3545,3.2739,0.838750785588319,1.0934629202003432,5.5,2.0,0.0,200,20,150.0,0.1,Gen-Prob E-Greedy,0.5
"Gen-Prob E-Greedy (m=100, e=0.8)",90.0,189.25,403,86.5,3.643,2.7798,3.5617,2.6533,0.0,3.3421,3.2903,0.863258000849902,0.9084304818885922,7.000000000000001,3.5000000000000004,0.0,200,20,100.0,0.8,Gen-Prob E-Greedy,0.5
"Gen-Prob E-Greedy (m=100, e=0.6)",90.0,189.33,403,86.5,3.643,2.7798,3.5401,2.6509,0.0,3.3421,3.2796,0.863258000849902,0.889279047074333,9.5,3.5000000000000004,0.0,200,20,100.0,0.6,Gen-Prob E-Greedy,0.5
"Gen-Prob E-Greedy (m=150, e=0.6)",90.0,188.5,466,88.0,3.6229,2.7842,3.5625,2.6465,0.0,3.3545,3.3172,0.838750785588319,0.9160167647787428,4.5,2.0,0.0,200,20,150.0,0.6,Gen-Prob E-Greedy,0.5
"Gen-Prob E-Greedy (m=150, e=0.2)",90.0,188.03,466,88.0,3.6229,2.7842,3.5504,2.5535,0.0,3.3545,3.3006,0.838750785588319,0.9969169068311317,5.0,2.0,0.0,200,20,150.0,0.2,Gen-Prob E-Greedy,0.5
"Gen-Prob E-Greedy (m=100, e=1.0)",90.0,187.88,403,86.5,3.643,2.7798,3.5024,2.6375,0.0,3.3421,3.2379,0.863258000849902,0.8648197262329549,7.000000000000001,3.5000000000000004,0.0,200,20,100.0,1.0,Gen-Prob E-Greedy,0.5
Pure PARWiS (Baseline),89.5,188.5,466,88.0,3.6229,2.7842,3.5258,2.4226,0.0,3.3545,3.264,0.838750785588319,1.10311935183858,4.5,1.5,0.0,200,20,,,Baseline,0.0
PARWiS-P2 (m=150),89.5,188.5,403,86.5,3.643,2.7798,3.5258,2.4226,0.0,3.3421,3.264,0.863258000849902,1.10311935183858,8.5,3.0,0.0,200,20,150.0,,PARWiS-P2,0.0
PARWiS-P2 (m=100),89.5,188.5,"1,000",89.5,3.5258,2.4226,3.5258,2.4226,0.0,3.264,3.264,1.10311935183858,1.10311935183858,0.0,0.0,0.0,200,20,100.0,,PARWiS-P2,0.0
"Gen-Prob E-Greedy (m=100, e=0.0)",89.5,188.5,466,88.0,3.6229,2.7842,3.5258,2.4226,0.0,3.3545,3.264,0.838750785588319,1.10311935183858,4.5,1.5,0.0,200,20,100.0,0.0,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=150, e=0.0)",89.5,188.56,403,86.5,3.643,2.7798,3.565,2.394,0.0,3.3421,3.3074,0.863258000849902,1.1709798415203525,6.0,3.0,0.0,200,20,150.0,0.0,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=150, e=0.1)",85.0,180.37,548,81.0,3.1292,2.4956,3.0594,2.3456,0.0,2.6968,2.6805,0.6335485718982277,0.7138372075150747,8.0,4.0,0.0,200,30,150.0,0.1,Gen-Prob E-Greedy,1.0
"Gen-Prob E-Greedy (m=150, e=0.2)",85.0,179.72,548,81.0,3.1292,2.4956,3.0737,2.4188,0.0,2.6968,2.6849,0.6335485718982277,0.6549177695050168,7.5,4.0,0.0,200,30,150.0,0.2,Gen-Prob E-Greedy,1.0
"Gen-Prob E-Greedy (m=150, e=0.6)",84.5,179.96,548,81.0,3.1292,2.4956,3.0687,2.5029,0.0,2.6968,2.6861,0.6335485718982277,0.5657806315250231,7.000000000000001,3.5000000000000004,0.0,200,30,150.0,0.6,Gen-Prob E-Greedy,0.5
Pure PARWiS (Baseline),84.0,179.15,548,81.0,3.1292,2.4956,3.0428,2.3534,0.0,2.6968,2.6422,0.6335485718982277,0.689355256881028,7.5,3.0,0.0,200,30,,,Baseline,0.0
PARWiS-P2 (m=100),84.0,179.15,"1,000",84.0,3.0428,2.3534,3.0428,2.3534,0.0,2.6422,2.6422,0.689355256881028,0.689355256881028,0.0,0.0,0.0,200,30,100.0,,PARWiS-P2,0.0
"Gen-Prob E-Greedy (m=100, e=0.8)",84.0,177.35,481,78.0,3.1238,2.5059,3.0689,2.5112,0.0,2.6335,2.637,0.6179800762454741,0.5576804716360018,14.000000000000002,6.0,0.0,200,30,100.0,0.8,Gen-Prob E-Greedy,0.0
PARWiS-P2 (m=150),84.0,179.15,481,78.0,3.1238,2.5059,3.0428,2.3534,0.0,2.6335,2.6422,0.6179800762454741,0.689355256881028,14.000000000000002,6.0,0.0,200,30,150.0,,PARWiS-P2,0.0
"Gen-Prob E-Greedy (m=100, e=0.0)",84.0,179.15,548,81.0,3.1292,2.4956,3.0428,2.3534,0.0,2.6968,2.6422,0.6335485718982277,0.689355256881028,7.5,3.0,0.0,200,30,100.0,0.0,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=100, e=0.4)",84.0,177.69,481,78.0,3.1238,2.5059,3.0665,2.4895,0.0,2.6335,2.6532,0.6179800762454741,0.5769722289816799,14.499999999999998,6.0,0.0,200,30,100.0,0.4,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=100, e=0.6)",84.0,179.85,481,78.0,3.1238,2.5059,3.085,2.5021,0.0,2.6335,2.6696,0.6179800762454741,0.5828539113425237,14.000000000000002,6.0,0.0,200,30,100.0,0.6,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=150, e=0.4)",84.0,177.75,548,81.0,3.1292,2.4956,3.0628,2.4644,0.0,2.6968,2.6571,0.6335485718982277,0.5984221349695589,8.0,3.0,0.0,200,30,150.0,0.4,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=150, e=0.8)",83.5,178.09,548,81.0,3.1292,2.4956,3.0424,2.4853,0.0,2.6968,2.6211,0.6335485718982277,0.5571117834143191,7.000000000000001,2.5,0.0,200,30,150.0,0.8,Gen-Prob E-Greedy,-0.5
"Gen-Prob E-Greedy (m=100, e=0.2)",82.5,177.38,481,78.0,3.1238,2.5059,3.0459,2.4525,0.0,2.6335,2.6122,0.6179800762454741,0.5934297237306336,15.5,4.5,0.0,200,30,100.0,0.2,Gen-Prob E-Greedy,-1.5
"Gen-Prob E-Greedy (m=100, e=1.0)",82.5,177.31,481,78.0,3.1238,2.5059,3.0343,2.4564,0.0,2.6335,2.6021,0.6179800762454741,0.5779210891642812,13.0,5.5,1.0,200,30,100.0,1.0,Gen-Prob E-Greedy,-1.5
"Gen-Prob E-Greedy (m=150, e=0.0)",82.5,176.84,481,78.0,3.1238,2.5059,3.1146,2.3258,0.0,2.6335,2.6495,0.6179800762454741,0.7887909709596701,12.5,4.5,0.0,200,30,150.0,0.0,Gen-Prob E-Greedy,-1.5
"Gen-Prob E-Greedy (m=100, e=0.1)",82.0,178.47,481,78.0,3.1238,2.5059,3.0383,2.3509,0.0,2.6335,2.6265,0.6179800762454741,0.6874718751372719,13.0,4.0,0.0,200,30,100.0,0.1,Gen-Prob E-Greedy,-2.0
"Gen-Prob E-Greedy (m=150, e=1.0)",81.5,178.84,548,81.0,3.1292,2.4956,3.044,2.4804,0.0,2.6968,2.6193,0.6335485718982277,0.5636042127254361,9.5,2.5,2.0,200,30,150.0,1.0,Gen-Prob E-Greedy,-2.5
"Gen-Prob E-Greedy (m=100, e=0.8)",72.0,171.92,567,65.5,2.7679,2.3258,2.6498,2.3335,0.0,2.0789,2.0383,0.4421566105895627,0.3163514755072634,21.0,7.000000000000001,0.5,200,40,100.0,0.8,Gen-Prob E-Greedy,2.0
"Gen-Prob E-Greedy (m=100, e=0.6)",71.5,170.94,567,65.5,2.7679,2.3258,2.6832,2.3437,0.0,2.0789,2.0854,0.4421566105895627,0.339511275824504,20.5,6.5,0.5,200,40,100.0,0.6,Gen-Prob E-Greedy,1.5
"Gen-Prob E-Greedy (m=100, e=0.1)",71.0,170.45,567,65.5,2.7679,2.3258,2.6711,2.2114,0.0,2.0789,2.0768,0.4421566105895627,0.4597196436861384,22.5,5.5,0.0,200,40,100.0,0.1,Gen-Prob E-Greedy,1.0
"Gen-Prob E-Greedy (m=100, e=0.2)",71.0,171.03,567,65.5,2.7679,2.3258,2.6653,2.2667,0.0,2.0789,2.0528,0.4421566105895627,0.398577901787954,21.0,5.5,0.0,200,40,100.0,0.2,Gen-Prob E-Greedy,1.0
"Gen-Prob E-Greedy (m=150, e=0.6)",70.5,172.39,653,67.5,2.7324,2.3012,2.6618,2.3371,0.0,2.1097,2.0693,0.431220034025896,0.3246852038896763,9.5,3.0,0.0,200,40,150.0,0.6,Gen-Prob E-Greedy,0.5
Pure PARWiS (Baseline),70.0,171.69,653,67.5,2.7324,2.3012,2.6425,2.2008,0.0,2.1097,2.0482,0.431220034025896,0.4417046913727329,9.0,2.5,0.0,200,40,,,Baseline,0.0
"Gen-Prob E-Greedy (m=100, e=0.0)",70.0,171.69,653,67.5,2.7324,2.3012,2.6425,2.2008,0.0,2.1097,2.0482,0.431220034025896,0.4417046913727329,9.0,2.5,0.0,200,40,100.0,0.0,Gen-Prob E-Greedy,0.0
PARWiS-P2 (m=100),70.0,171.69,"1,000",70.0,2.6425,2.2008,2.6425,2.2008,0.0,2.0482,2.0482,0.4417046913727329,0.4417046913727329,0.0,0.0,0.0,200,40,100.0,,PARWiS-P2,0.0
PARWiS-P2 (m=150),70.0,171.69,567,65.5,2.7679,2.3258,2.6425,2.2008,0.0,2.0789,2.0482,0.4421566105895627,0.4417046913727329,23.0,4.5,0.0,200,40,150.0,,PARWiS-P2,0.0
"Gen-Prob E-Greedy (m=150, e=0.8)",70.0,171.79,653,67.5,2.7324,2.3012,2.6403,2.3309,0.0,2.1097,2.0362,0.431220034025896,0.3093960626553915,9.0,3.0,0.5,200,40,150.0,0.8,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=100, e=1.0)",70.0,171.0,567,65.5,2.7679,2.3258,2.6831,2.3371,0.0,2.0789,2.057,0.4421566105895627,0.345954990779779,22.0,6.5,2.0,200,40,100.0,1.0,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=150, e=0.4)",70.0,171.35,653,67.5,2.7324,2.3012,2.675,2.3138,0.0,2.1097,2.0947,0.431220034025896,0.3612515374849567,8.5,2.5,0.0,200,40,150.0,0.4,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=150, e=0.2)",70.0,171.67,653,67.5,2.7324,2.3012,2.6627,2.2701,0.0,2.1097,2.0671,0.431220034025896,0.3925778875996126,9.5,2.5,0.0,200,40,150.0,0.2,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=150, e=0.1)",69.5,171.31,653,67.5,2.7324,2.3012,2.6278,2.2127,0.0,2.1097,2.0332,0.431220034025896,0.4151619610190287,8.0,2.0,0.0,200,40,150.0,0.1,Gen-Prob E-Greedy,-0.5
"Gen-Prob E-Greedy (m=100, e=0.4)",69.0,169.79,567,65.5,2.7679,2.3258,2.6567,2.3306,0.0,2.0789,2.013,0.4421566105895627,0.326054446300501,20.5,4.0,0.5,200,40,100.0,0.4,Gen-Prob E-Greedy,-1.0
"Gen-Prob E-Greedy (m=150, e=0.0)",68.0,171.34,567,65.5,2.7679,2.3258,2.7799,2.2743,0.0,2.0789,2.1361,0.4421566105895627,0.5056664005286282,15.0,3.5000000000000004,1.0,200,40,150.0,0.0,Gen-Prob E-Greedy,-2.0
"Gen-Prob E-Greedy (m=150, e=1.0)",66.5,172.12,653,67.5,2.7324,2.3012,2.6461,2.3206,0.0,2.1097,2.0524,0.431220034025896,0.325539571204299,12.0,3.0,4.0,200,40,150.0,1.0,Gen-Prob E-Greedy,-3.5
"Gen-Prob E-Greedy (m=150, e=0.4)",64.0,166.85,729,58.5,2.4795,2.1657,2.4081,2.1841,0.0,1.6641,1.6814,0.3138178084211351,0.2240343065960619,15.5,6.0,0.5,200,50,150.0,0.4,Gen-Prob E-Greedy,2.5
"Gen-Prob E-Greedy (m=150, e=0.1)",62.0,165.9,729,58.5,2.4795,2.1657,2.3984,2.1372,0.0,1.6641,1.6286,0.3138178084211351,0.2612239634792295,16.5,3.5000000000000004,0.0,200,50,150.0,0.1,Gen-Prob E-Greedy,0.5
"Gen-Prob E-Greedy (m=150, e=0.2)",62.0,166.38,729,58.5,2.4795,2.1657,2.4116,2.1525,0.0,1.6641,1.6414,0.3138178084211351,0.2591314649983842,13.0,4.0,0.5,200,50,150.0,0.2,Gen-Prob E-Greedy,0.5
Pure PARWiS (Baseline),61.5,167.35,729,58.5,2.4795,2.1657,2.3839,2.1291,0.0,1.6641,1.6537,0.3138178084211351,0.2547854205349695,12.5,3.0,0.0,200,50,,,Baseline,0.0
PARWiS-P2 (m=100),61.5,167.35,"1,000",61.5,2.3839,2.1291,2.3839,2.1291,0.0,1.6537,1.6537,0.2547854205349695,0.2547854205349695,0.0,0.0,0.0,200,50,100.0,,PARWiS-P2,0.0
